arm,n_flows,detector_median_s,detector_p95_s,classifier_median_s,classifier_p95_s,fusion_median_s,sequential_total_s,parallel_measured_median_s,parallel_measured_p95_s,parallel_theoretical_bound_s,speedup_measured,saving_measured_pct,throughput_flows_per_s,per_sample_detector_us,per_sample_classifier_us,per_sample_p95_us,train_detector_s,train_classifier_s,reps
"ours-submitted (parallel, OCSVM, 64 feat)",97061,0.23757615001522936,0.25957833001157266,0.2935167499817908,0.35487806000164707,0.011836099991342053,0.5429289999883622,0.44398340000770986,0.46321623999974687,0.30535284997313283,1.2228587825106392,18.224408713252238,218614.02925945996,534.4499950297177,31692.549993749708,57776.50003437882,0.30885099997976795,0.3708681999705732,30
"verkerken (sequential, OCSVM+PCA, 64 feat)",97061,0.29368265002267435,0.30911156003421636,0.26908300002105534,0.28853488000168,0.011870899994391948,0.5746365500381216,0.4833409999846481,0.5057834299979731,0.3055535500170663,1.1888843488476526,15.887529264787803,200812.67677081577,679.149990901351,31782.600010046735,48237.24499146919,0.388162299990654,0.3957053999765776,30
"verkerken-faithful (sequential, OCSVM+PCA, 64 feat)",97061,12.034538200008683,12.344754460005788,0.2647873999667354,0.2828041750122793,0.012096149992430583,12.311421749967849,12.163481900002807,12.264946239994606,12.046634350001113,1.012162623431454,1.2016471612259383,7979.705219109801,716.1500107031316,31730.30001926236,47324.78002551943,0.8437822999549098,0.3903761000256054,30
"candidate (parallel, knn2s, 36 feat)",97061,3.199356049968628,3.255694359989138,0.25963874999433756,0.29708652998087925,0.01161429999046959,3.4706090999534354,3.3698498000157997,3.4750556799699552,3.210970349959098,1.029900234703981,2.9032166122940017,28802.76741104156,1739.8499767296016,31893.149978714064,49816.45502848532,2.409607000008691,0.363194800040219,30
