architecture,n_seeds,trials,bacc_mean,bacc_std,f1w_mean,fpr_mean
parallel,3,16,0.9143508412602667,0.0034719368461915887,0.9861837223585836,0.01941371623530889
verkerken,3,16,0.8209170052146871,0.01581067739804467,0.9879067854527855,0.012687814186490287
