arm,seed,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,benign_fpr,benign_fp_count,attack_detection_rate,attacks_missed,phantom_classes,phantom_predictions,tau_b,tau_m,tau_u
ours-submitted,0,0.9407451261438112,0.8619258158090822,0.641522700336344,0.9674330115411827,0.6472231348227958,0.7182715131742352,0.058502789086456446,5590.0,0.8557692307692307,105.0,1.0,4432.0,-0.00032907410599793124,1.0,-0.00024267355471994283
ours-submitted,1,0.9443180755928084,0.8703235059672985,0.6487899998801753,0.9693915298161274,0.6384782707629751,0.725269588306082,0.054975876756915155,5253.0,0.8626373626373627,100.0,1.0,4430.0,-0.0001727838765015337,1.0,-8.792155895366918e-05
ours-submitted,2,0.9400596184006896,0.8694653255191607,0.651360687508762,0.9671636092565161,0.6674566603028964,0.724554437932634,0.059266778997603374,5663.0,0.8612637362637363,101.0,1.0,4429.0,-0.00035591618390828396,1.0,8.37196688404469e-06
verkerken-balanced,0,0.9786557816346244,0.6019445688114776,0.4632244026082442,0.9850960352431948,0.4787260649996994,0.5016204740095647,0.01774968341513956,1696.0,0.5123626373626373,355.0,1.0,604.0,-0.0003210025601949485,1.0,-0.00013422489607085798
verkerken-balanced,1,0.9840152058081202,0.8783234222423765,0.6522406939046917,0.9899391423631985,0.6384804487313813,0.7319361852019804,0.014976295381524002,1431.0,0.8585164835164835,103.0,1.0,605.0,-0.0001727838765015337,1.0,4.693503229175511e-06
verkerken-balanced,2,0.9774197904008143,0.6159539908553524,0.47704086405431406,0.9846229025798675,0.4939924478067503,0.5132949923794604,0.01913114462433674,1828.0,0.5302197802197802,342.0,1.0,607.0,-0.00010051429255565632,1.0,0.0001746028436014096
rf-closed-baseline,0,0.9990132843091433,0.9361862907110995,0.9452910953894005,0.9989957241831889,0.9552980909078471,0.9361862907110995,0.0003872277631840588,37.0,0.9217032967032966,57.0,,,,,
rf-closed-baseline,1,0.9990236707900996,0.9394788077617143,0.9462643386788729,0.9990100931807009,0.9536607602355811,0.9394788077617143,0.00040815899362644034,39.0,0.9258241758241759,54.0,,,,,
rf-closed-baseline,2,0.9990548302329688,0.9394850871308471,0.9477751003924668,0.9990399285913661,0.9568721805684726,0.9394850871308471,0.000376762147962868,36.0,0.9258241758241759,54.0,,,,,
