architecture,seed,trials,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,benign_fpr,benign_fp_count,attack_detection_rate,attacks_missed,phantom_classes,phantom_predictions,best_gamma,best_nu,best_n_estimators,best_max_depth,best_tau_b_beta,best_tau_u_quantile
parallel,0,16,0.9801671114041686,0.9146725973205759,0.7047063362673514,0.9867509446597389,0.6820371276882492,0.7840050834176365,0.01858693263283482,1776.0,0.9066225165562913,141.0,1.0,962.0,1.1508094377692609e-05,0.04707205755308635,100,24,F4,0.99
parallel,1,16,0.9782610935391146,0.9176507001808473,0.6904700756156038,0.985502115030126,0.66387994867987,0.7865577430121549,0.02058586514008226,1967.0,0.9145695364238411,129.0,1.0,970.0,1.1508094377692609e-05,0.04707205755308635,100,24,F4,0.99
parallel,2,16,0.9796210630428287,0.910729226279377,0.6954382286795323,0.9862981073858862,0.671778068589272,0.780625051096609,0.019068350933009598,1822.0,0.9052980132450331,143.0,1.0,967.0,1.1508094377692609e-05,0.04707205755308635,100,24,F4,0.99
verkerken,0,16,0.984504589897075,0.8378383070765372,0.6736375522609415,0.9882732077918953,0.6853816234074017,0.7181471203513176,0.012705256878525605,1214.0,0.8119205298013245,284.0,1.0,484.0,0.0002729243654445418,1.1152411146482605e-05,150,12,F9,0.995
verkerken,1,16,0.984741554280298,0.8065208949704356,0.6622259871908369,0.9881795273922459,0.6811598455291624,0.6913036242603734,0.011868007660830342,1134.0,0.7781456953642384,335.0,1.0,490.0,0.0002729243654445418,1.1152411146482605e-05,150,12,F9,0.995
verkerken,2,16,0.9833712819773133,0.8183918135970889,0.6531394510817449,0.9872676211742152,0.6689060549159207,0.7014786973689333,0.013490178020114912,1289.0,0.7900662251655629,317.0,1.0,485.0,0.0002729243654445418,1.1152411146482605e-05,150,12,F9,0.995
