arm,seed,held_out,zd,keep,fp,zd_in_sample,keep_in_sample,feasible,n_feasible_trials,tuning_objective,params
thresholds,1,FTP-Patator,0.0011802394199966278,0.9172185430463576,0.10536781404694875,0.5624546141620086,0.9208609271523178,True,42.0,0.42222439620432856,"{'qb': 0.77772, 'qm': 0.08611, 'qu': 0.91037}"
thresholds,1,Web Attack - XSS,0.0015337423312883436,0.9198675496688742,0.08693786564243179,0.5450198741404174,0.9201986754966888,True,39.0,0.40901781405245524,"{'qb': 0.79417, 'qm': 0.0869, 'qu': 0.91811}"
override,1,DDoS,0.6218226131516865,0.9105960264900662,0.1076911806260531,0.40466527894552584,0.9117549668874172,True,40.0,0.30379401906414355,"{'qb': 0.61737, 'qm': 0.07809, 'qu': 0.91074, 'qz': 0.67653, 'qc': 0.1584}"
override,1,DoS Hulk,0.8870786711870683,0.9185430463576159,0.09255790101621124,0.3244081231266684,0.9048013245033113,True,38.0,0.24360115220000045,"{'qb': 0.59267, 'qm': 0.08912, 'qu': 0.91341, 'qz': 0.63266, 'qc': 0.57289}"
override,1,DoS slowloris,0.6731662024141133,0.9079470198675497,0.09719416855919875,0.37788624031990714,0.9074503311258278,True,38.0,0.2837097400949295,"{'qb': 0.59267, 'qm': 0.08912, 'qu': 0.91341, 'qz': 0.63266, 'qc': 0.57289}"
override,1,FTP-Patator,0.0011802394199966278,0.9026490066225166,0.10573411057969043,0.5598258723784483,0.9137417218543046,True,40.0,0.42025283986665835,"{'qb': 0.61737, 'qm': 0.07809, 'qu': 0.91074, 'qz': 0.67653, 'qc': 0.1584}"
override,1,Web Attack - XSS,0.0015337423312883436,0.909933774834437,0.09163692687674645,0.5457943553406133,0.9069536423841059,True,38.0,0.4096408263604591,"{'qb': 0.59267, 'qm': 0.08912, 'qu': 0.91341, 'qz': 0.63266, 'qc': 0.57289}"
continuous,1,DDoS,0.6218148015060853,0.9039735099337748,0.10555619512093019,0.3907859978134473,0.9056291390728477,True,37.0,0.29338455821508463,"{'qb': 0.81581, 'qm': 0.09471, 'qu': 0.91261, 'qz': 0.8746, 'qc': 0.59172, 'w': 0.63639, 'taun': 0.91951}"
continuous,1,DoS Hulk,0.8868877497888293,0.9324503311258279,0.09212881079214241,0.3238763313172182,0.9299668874172184,True,37.0,0.2431601569350558,"{'qb': 0.91713, 'qm': 0.06622, 'qu': 0.84253, 'qz': 0.9892, 'qc': 0.70381, 'w': 0.40176, 'taun': 0.90219}"
continuous,1,DoS slowloris,0.6713091922005571,0.9331125827814569,0.09878494207281975,0.3777709707142863,0.9298013245033112,True,37.0,0.2835811364828569,"{'qb': 0.91713, 'qm': 0.06622, 'qu': 0.84253, 'qz': 0.9892, 'qc': 0.70381, 'w': 0.40176, 'taun': 0.90219}"
continuous,1,FTP-Patator,0.0011802394199966278,0.904635761589404,0.10634111626251949,0.5624777561496739,0.9142384105960265,True,34.0,0.4222417526950775,"{'qb': 0.91013, 'qm': 0.08111, 'qu': 0.81167, 'qz': 0.93629, 'qc': 0.63224, 'w': 0.82033, 'taun': 0.93728}"
continuous,1,Web Attack - XSS,0.0015337423312883436,0.937748344370861,0.0927253508597503,0.5452148331816034,0.9286423841059602,True,37.0,0.40916403333334467,"{'qb': 0.91713, 'qm': 0.06622, 'qu': 0.84253, 'qz': 0.9892, 'qc': 0.70381, 'w': 0.40176, 'taun': 0.90219}"
recommended-fixed,1,DDoS,0.6214632774540285,0.9152317880794701,0.09815700515954831,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,1,DoS Hulk,0.8867836108443354,0.9258278145695364,0.08596456342686105,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,1,DoS slowloris,0.6696378830083566,0.9072847682119205,0.0873774214817218,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,1,FTP-Patator,0.0010116337885685382,0.9,0.09506964866929703,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,1,Web Attack - XSS,0.0015337423312883436,0.9198675496688742,0.08504358928739626,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
submitted,2,DDoS,0.6354148764978831,0.8867549668874172,0.0608261556655608,0.301491396374887,0.8899006622516556,True,,,{}
submitted,2,DoS Hulk,0.9413929162375756,0.9311258278145695,0.05824114870592668,0.22499688643996385,0.8788079470198675,True,,,{}
submitted,2,DoS slowloris,0.264066852367688,0.8814569536423841,0.0566294439618633,0.3943284024074357,0.8912251655629139,True,,,{}
submitted,2,FTP-Patator,0.0005058168942842691,0.8589403973509934,0.05585498843549518,0.4602186612757867,0.8968543046357615,True,,,{}
submitted,2,Web Attack - XSS,0.0,0.8880794701986755,0.0565143221944302,0.46034511549935775,0.8895695364238411,True,,,{}
thresholds,2,DDoS,0.6361647944756043,0.9132450331125828,0.09033919058931879,0.38279527784381784,0.9144039735099337,True,38.0,0.28709645838286335,"{'qb': 0.65444, 'qm': 0.10452, 'qu': 0.92135}"
thresholds,2,DoS Hulk,0.946813926848177,0.9490066225165563,0.08785883978189658,0.3051286556279874,0.9460264900662252,True,37.0,0.22884649172099056,"{'qb': 0.92243, 'qm': 0.05699, 'qu': 0.75237}"
thresholds,2,DoS slowloris,0.5838440111420613,0.9496688741721855,0.10105598057581815,0.3958711345545164,0.945860927152318,True,36.0,0.29690335091588727,"{'qb': 0.92243, 'qm': 0.05699, 'qu': 0.75237}"
thresholds,2,FTP-Patator,0.0005058168942842691,0.9370860927152318,0.10130715534112673,0.5422448111189906,0.9352649006622517,True,38.0,0.40706704392206505,"{'qb': 0.66893, 'qm': 0.06738, 'qu': 0.91575}"
thresholds,2,Web Attack - XSS,0.0,0.9430463576158941,0.09458823036912224,0.5418321373400317,0.9475165562913908,True,37.0,0.4065005572285948,"{'qb': 0.92243, 'qm': 0.05699, 'qu': 0.75237}"
override,2,DDoS,0.6361491711844017,0.9119205298013245,0.08942868206507519,0.3869226727555823,0.9109271523178808,True,51.0,0.29031845879025775,"{'qb': 0.93104, 'qm': 0.06355, 'qu': 0.85897, 'qz': 0.5701, 'qc': 0.71092}"
override,2,DoS Hulk,0.946865996320424,0.9158940397350993,0.09174158302895835,0.30560689463288765,0.9018211920529802,True,45.0,0.22933162519823683,"{'qb': 0.9153, 'qm': 0.09397, 'qu': 0.91636, 'qz': 0.86722, 'qc': 0.72405}"
override,2,DoS slowloris,0.25942432683379757,0.895364238410596,0.0557189354376197,0.3991671700923719,0.9009933774834437,True,49.0,0.29950183179284995,"{'qb': 0.95217, 'qm': 0.10364, 'qu': 0.88624, 'qz': 0.74604, 'qc': 0.68267}"
override,2,FTP-Patator,0.0005058168942842691,0.8980132450331125,0.08975311613693211,0.5470018811199009,0.9216887417218542,True,41.0,0.41638638016507906,"{'qb': 0.92976, 'qm': 0.0514, 'qu': 0.85472, 'qz': 0.51348, 'qc': 0.93797}"
