dedup,arm,seed,n_rows,portscan_pool,balanced_accuracy,recall_Benign,recall_Botnet,recall_Brute Force,recall_DoS,recall_Port Scan,recall_Web Attack
True,ours,0,2233164,1956,0.8904471238883721,0.9420204916746031,0.9437086092715232,0.9205298013245033,0.7913907284768212,0.8774834437086093,0.8675496688741722
True,ours,1,2233164,1956,0.8843991592114175,0.9421565446724786,0.9370860927152318,0.9205298013245033,0.7814569536423841,0.847682119205298,0.8774834437086093
True,ours,2,2233164,1956,0.8903599104281953,0.9414972109135435,0.9635761589403974,0.9271523178807947,0.7417218543046358,0.8807947019867549,0.8874172185430463
True,baseline,0,2233164,1956,0.7942288681728235,0.9739824805601197,0.9768211920529801,0.18874172185430463,0.8079470198675497,0.9403973509933775,0.8774834437086093
True,baseline,1,2233164,1956,0.9395356300253003,0.978273382800808,0.9834437086092715,0.9337748344370861,0.9039735099337748,0.9536423841059603,0.8841059602649006
True,baseline,2,2233164,1956,0.8825796727302778,0.9742859834015343,0.9867549668874173,0.6258278145695364,0.8774834437086093,0.9503311258278145,0.8807947019867549
False,ours,0,2827876,158804,0.8994855789381845,0.932193278981905,0.9732360097323601,0.8345498783454988,0.8248175182481752,0.9805352798053528,0.851581508515815
False,ours,1,2827876,158804,0.9032861760180845,0.9403983213153185,0.9854014598540146,0.8199513381995134,0.8199513381995134,0.9878345498783455,0.8661800486618005
False,ours,2,2827876,158804,0.92692195739802,0.9337945181107471,0.9951338199513382,0.8686131386861314,0.8905109489051095,0.9878345498783455,0.8856447688564477
False,baseline,0,2827876,158804,0.8956714139053803,0.9579700892716978,0.9927007299270073,0.7274939172749392,0.8467153284671532,0.9805352798053528,0.8686131386861314
False,baseline,1,2827876,158804,0.8996899894641897,0.9626168224299065,0.9927007299270073,0.7153284671532847,0.8661800486618005,0.9878345498783455,0.8734793187347932
False,baseline,2,2827876,158804,0.7506760783188925,0.9809421146822116,0.681265206812652,0.21897810218978103,0.781021897810219,0.9878345498783455,0.8540145985401459
