arm,seed,held_out,zd,keep,fp,zd_on_train_folds,n_valid_trials
submitted-pipeline,0,DDoS,0.6187370131391879,0.9112582781456954,0.061694801728919633,,
submitted-pipeline,1,DDoS,0.549307107035168,0.8920529801324504,0.057822524097079046,,
submitted-pipeline,2,DDoS,0.6354148764978831,0.8867549668874172,0.0608261556655608,,
submitted-pipeline,3,DDoS,0.6180339650350742,0.8860927152317881,0.05838766731902335,,
submitted-pipeline,4,DDoS,0.5479713156373521,0.8834437086092716,0.057874852173185,,
submitted-pipeline,0,DoS Hulk,0.9287573909723106,0.8993377483443709,0.05584452282027399,,
submitted-pipeline,1,DoS Hulk,0.8569478032468208,0.8913907284768212,0.054693305145943005,,
submitted-pipeline,2,DoS Hulk,0.9413929162375756,0.9311258278145695,0.05824114870592668,,
submitted-pipeline,3,DoS Hulk,0.93214769216528,0.8966887417218543,0.05738296825778903,,
submitted-pipeline,4,DoS Hulk,0.93547435289217,0.9251655629139073,0.05761321179265523,,
submitted-pipeline,0,DoS slowloris,0.5875580315691736,0.8788079470198675,0.05772833356008833,,
submitted-pipeline,1,DoS slowloris,0.36044568245125347,0.8794701986754967,0.05671316888363282,,
submitted-pipeline,2,DoS slowloris,0.264066852367688,0.8814569536423841,0.0566294439618633,,
submitted-pipeline,3,DoS slowloris,0.5606313834726091,0.8814569536423841,0.05656665027053615,,
submitted-pipeline,4,DoS slowloris,0.23825441039925718,0.8794701986754967,0.05897374177141003,,
submitted-pipeline,0,FTP-Patator,0.0011802394199966278,0.8708609271523179,0.057801592866636664,,
submitted-pipeline,1,FTP-Patator,0.0010116337885685382,0.8682119205298013,0.05812602693849358,,
submitted-pipeline,2,FTP-Patator,0.0005058168942842691,0.8589403973509934,0.05585498843549518,,
submitted-pipeline,3,FTP-Patator,0.0001686056314280897,0.866225165562914,0.05657711588575735,,
submitted-pipeline,4,FTP-Patator,0.0010116337885685382,0.8649006622516556,0.056985274879383783,,
submitted-pipeline,0,Web Attack - XSS,0.0,0.8841059602649006,0.056838756266287115,,
submitted-pipeline,1,Web Attack - XSS,0.0,0.890728476821192,0.054013040156565606,,
submitted-pipeline,2,Web Attack - XSS,0.0,0.8880794701986755,0.0565143221944302,,
submitted-pipeline,3,Web Attack - XSS,0.0,0.8821192052980132,0.05520612029178135,,
