stage,tau_b,auroc,aupr,accuracy,balanced_accuracy,precision,recall,f1,f1_macro,f1_weighted,fit_s,score_s,tau_m,resample_s,n_train
1a,-0.00016752185464742738,0.8161788100627224,0.16245238442583765,0.7196412352406902,0.7941464697165257,0.13785964160776754,0.876930063578565,0.23826269356530322,0.5332343925173708,0.7987089215742316,0.055480699986219406,0.3778007000219077,,,
1b,,,,0.987102633969119,0.9296159585488976,,,,0.8987820796270388,0.9876692199314281,219.61348619998898,0.33821170002920553,1.0,3.7286229000310414,788310.0
1a-autoencoder,0.48112101809423474,0.8251352400780851,0.21316757432415892,0.7549500454132607,0.8202590946029924,0.15700367353457914,0.8928247048138056,0.26704699809834287,0.5599644173107996,0.8235900946020107,29.729312500043306,0.14917749998858199,,,
