comparison,rationale,n_seeds,mean_a,std_a,mean_b,std_b,delta_bacc,wilcoxon_stat,wilcoxon_p,wilcoxon_min_possible_p,mcnemar_n01,mcnemar_n10,mcnemar_p,boot_diff_mean,boot_ci_lo,boot_ci_hi,boot_n,boot_resample_size,boot_excludes_zero
ours-submitted vs verkerken-balanced,"the comparison R2.3 asks about, with the baseline corrected (A1)",5,0.9001006316264469,0.02350715187804339,0.8000601622706347,0.02553562730855068,0.10004046935581223,0.0,0.0625,0.0625,4241,180,0.0,0.09165329725397178,0.06434743784488269,0.11797577845134656,1000,20000,True
ours-submitted vs rf-closed-baseline,"the closed classifier; it cannot emit Zero Day, so this axis is ill-posed and reported for completeness only",5,0.9001006316264469,0.02350715187804339,0.9582503748503827,0.0006302360049591594,-0.058149743223935735,0.0,0.0625,0.0625,5617,48,0.0,-0.0687076889287702,-0.09850374503136329,-0.03878878904796652,1000,20000,True
