arm,n_seeds,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,f1_macro_mean,f1_macro_std,f1_macro_min,f1_macro_max,f1_weighted_mean,f1_weighted_std,f1_weighted_min,f1_weighted_max,precision_macro_mean,precision_macro_std,precision_macro_min,precision_macro_max,recall_macro_mean,recall_macro_std,recall_macro_min,recall_macro_max,benign_fpr_mean,benign_fpr_std,benign_fpr_min,benign_fpr_max,benign_fp_count_mean,benign_fp_count_std,benign_fp_count_min,benign_fp_count_max,attack_detection_rate_mean,attack_detection_rate_std,attack_detection_rate_min,attack_detection_rate_max,attacks_missed_mean,attacks_missed_std,attacks_missed_min,attacks_missed_max,phantom_classes_mean,phantom_classes_std,phantom_classes_min,phantom_classes_max,phantom_predictions_mean,phantom_predictions_std,phantom_predictions_min,phantom_predictions_max,tau_b_mean,tau_b_std,tau_b_min,tau_b_max,tau_m_mean,tau_m_std,tau_m_min,tau_m_max,tau_u_mean,tau_u_std,tau_u_min,tau_u_max
ours-submitted,5,0.9402375825511792,0.0010576715436300152,0.9385231967525577,0.941078290971657,0.9001006316264469,0.02350715187804345,0.8843991592114175,0.9417304520501205,0.6927035817300291,0.003915012518005197,0.6878191835590217,0.698445647642278,0.9659936011795744,0.0006322759986273323,0.9649624920594754,0.9665279292326803,0.6748553188207979,0.009658641162058617,0.6592223092510804,0.6846941542154207,0.7715148271083831,0.02014898732403719,0.758056422181215,0.8071975303286747,0.05899885924794089,0.0015069686440590557,0.05784345532752143,0.06153781750060177,5637.4,143.99236090848723,5527.0,5880.0,0.9230463576158939,0.02008381193340142,0.9072847682119205,0.956953642384106,116.2,30.32655601943617,65.0,140.0,1.0,0.0,1.0,1.0,4813.0,16.385969608173955,4794.0,4837.0,-0.00040625796542683725,0.00015592271299428773,-0.0005906584932404465,-0.00016752185464742738,0.9970000000000001,0.006708203932499375,0.985,1.0,-0.000337412011566256,0.00014997734225457768,-0.0005175254873768782,-0.00010705924204173719
rf-closed-baseline,5,0.9984071872327711,2.37188251372213e-05,0.9983824605145218,0.9984339745108746,0.9582503748503827,0.0006302360049591597,0.9573659772275144,0.9590216063665872,0.9570983136332124,0.000641768113450549,0.9564124566503317,0.9577832712949149,0.9984205708501435,2.378522275579576e-05,0.9983954371530346,0.9984467171196701,0.9566746968428431,0.0008864052329858862,0.9555894232062373,0.9577779578600979,0.9582503748503827,0.0006302360049591597,0.9573659772275144,0.9590216063665872,0.0008288767255183096,1.7196760604446823e-05,0.0008058523720316899,0.000847714832916453,79.2,1.6431676725154982,77.0,81.0,0.9520529801324503,0.0007550830629795489,0.9509933774834437,0.9529801324503311,72.4,1.1401754250991387,71.0,74.0,,,,,,,,,,,,,,,,,,,,
verkerken-balanced,5,0.9810243043034792,0.0012069543559453256,0.9801155974078157,0.9828973532108674,0.8000601622706347,0.025535627308550673,0.7740794861858845,0.8404291821736242,0.6742366621398415,0.01467575917290337,0.6593049174504205,0.6971363938101877,0.9865827839054203,0.0009030730122349369,0.985791675955847,0.9880203185228525,0.7054292530915242,0.023624911354877404,0.6816976726154665,0.7388264291303704,0.6857658533748296,0.021887680550186257,0.6634967024450439,0.720367870434535,0.015533066111291353,0.0014426880001502994,0.01359483417232682,0.017027555964877397,1484.2,137.8502811023612,1299.0,1627.0,0.7736423841059603,0.027582602576874813,0.747682119205298,0.8165562913907285,341.8,41.64972989108093,277.0,381.0,1.0,0.0,1.0,1.0,970.8,6.534523701081803,963.0,980.0,-0.00039500172863953236,0.00014723994891118443,-0.0005679771648607236,-0.00016556386021242736,0.9970000000000001,0.006708203932499375,0.985,1.0,-4.056337482191198e-05,0.00013295467570240168,-0.00017835512202527644,0.0001520856094975151
