arm,n_seeds,bacc_mean,bacc_std,f1w_mean,fpr_mean,fpr_std,attack_det,train_s
A-incumbent,5,0.9001006316264469,0.02350715187804343,0.9659936011795744,0.058998859247940835,0.0015069686440590364,0.9230463576158939,4.482
B-tau_u,5,0.9075811045327133,0.023514397640455025,0.9887274149612036,0.01411602181034206,0.0014677890096276287,0.89841059602649,4.128
C-smote,5,0.9347696951250946,0.002603862102578832,0.9764789636174738,0.058984207386631196,0.0006915625956482221,0.9909559260622187,118.13199999999999
D-combined,5,0.9422348184623701,0.0026112300243348653,0.9894435227174746,0.014193467362978881,0.0005857660093449187,0.9890848359611629,138.76399999999998
