arm,n_seeds,k_requested_mean,k_requested_std,n_train_malicious_mean,n_train_malicious_std,rf_n_estimators_mean,rf_n_estimators_std,n_train_after_resample_mean,n_train_after_resample_std,k_used_mean,k_used_std,fit_seconds_mean,fit_seconds_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,benign_fpr_mean,benign_fpr_std,benign_fp_count_mean,benign_fp_count_std,attack_detection_rate_mean,attack_detection_rate_std,attacks_missed_mean,attacks_missed_std,phantom_classes_mean,phantom_classes_std,phantom_predictions_mean,phantom_predictions_std,tau_b_mean,tau_b_std,tau_m_mean,tau_m_std,tau_u_mean,tau_u_std,rf_max_depth_mean,rf_max_depth_std,rf_max_samples_mean,rf_max_samples_std
smote-k5-base,5,5.0,0.0,164857.0,0.0,200.0,0.0,788310.0,0.0,5.0,0.0,159.10248585999943,32.95791604127902,0.9613633765530519,0.00048250886796998043,0.9368668837984778,0.00446217404130964,0.7439313163712633,0.004600145147794791,0.9765165295543863,0.000463531959455014,0.730805209687121,0.008261816350002517,0.8030287575415525,0.003824720606836885,0.05949283628638108,0.0006640760673398599,5684.6,63.453132310390984,0.9915786791972145,0.0011234422534236288,595.0,79.37568897338781,1.0,0.0,4893.0,69.76747093022647,-0.00051738747406368,0.00024305805420509578,0.999,0.0022360679774997916,-0.00026338138975214,0.0001318409408102343,,,,
weighted-base,5,,,164857.0,0.0,200.0,0.0,164857.0,0.0,,,11.70428261999623,0.7901454411696206,0.9641514996540417,0.0008242327582337075,0.9142921000790276,0.0030241241580436025,0.7852819169767923,0.007661823310072976,0.9784173611622199,0.0009088174956343563,0.79812785980405,0.011279751624887346,0.7836789429248807,0.002592106421180185,0.0557314941758851,0.0014690756722515277,5325.2,140.3716495593037,0.9926401902227757,0.0004260174071755984,520.0,30.099833886584825,1.0,0.0,4866.2,58.281214812321785,-0.00051738747406368,0.00024305805420509578,1.0,0.0,-0.00026338138975214,0.0001318409408102343,,,,
weighted-subsample,5,,,164857.0,0.0,200.0,0.0,164857.0,0.0,,,13.892994760000146,0.4971508237710023,0.9631033964080503,0.0008551352812966019,0.9128505037246504,0.0033641835401951132,0.7771856723403162,0.003608141680072385,0.9774100377064772,0.0007952505007015659,0.7876301095669307,0.0038710705372716507,0.7824432889068431,0.0028835858915958025,0.05756088371654924,0.0013210740746071182,5500.0,126.22994890278613,0.9926996348402073,0.0004672149398020866,515.8,33.01060435678209,1.0,0.0,4869.0,54.708317466359645,-0.00051738747406368,0.00024305805420509578,1.0,0.0,-0.00026338138975214,0.0001318409408102343,,,,
none-base,5,,,164857.0,0.0,200.0,0.0,164857.0,0.0,,,18.587440659990534,0.3357669977619286,0.9628013597665535,0.0008674292526131218,0.9098389931692354,0.004647349795758998,0.7790800651857552,0.006674635995152196,0.9772420652950224,0.0007414430159673685,0.7912714058615645,0.008894865703532755,0.779861994145059,0.0039834426820790905,0.056966436771985596,0.0015816830779560407,5443.2,151.13139978177918,0.9919070399411215,0.0008539957175903741,571.8,60.338213430627874,1.0,0.0,4920.0,59.02541825349483,-0.00051738747406368,0.00024305805420509578,1.0,0.0,-0.00026338138975214,0.0001318409408102343,,,,
downsample-base,5,,,3520.0,0.0,200.0,0.0,3520.0,0.0,,,1.3169578599976375,0.086620679537303,0.9402375825511792,0.0010576715436300657,0.9001006316264469,0.02350715187804343,0.6927035817300291,0.003915012518005197,0.9659936011795744,0.000632275998627367,0.6748553188207979,0.009658641162058617,0.7715148271083831,0.02014898732403719,0.058998859247940835,0.0015069686440590364,5637.4,143.99236090848723,0.9230463576158939,0.020083811933401488,116.2,30.32655601943617,1.0,0.0,4813.0,16.385969608173955,-0.0004062579654268,0.0001559227129942758,0.9970000000000001,0.006708203932499375,-0.00033741201156622,0.0001499773422545673,,,,
cycle9-none,5,,,164857.0,0.0,197.0,0.0,164857.0,0.0,,,6.604677819996141,0.5273345008935736,0.9619361631719865,0.0014931312051296853,0.8924060102165127,0.012933930180710262,0.7766844304793332,0.00843807986764127,0.9762462026782988,0.0014757048696966962,0.7990610948343815,0.01127368560313256,0.7649194373284394,0.011086225869180235,0.05569381796108878,0.003015701121216922,5321.6,288.15325783339676,0.9877034562798993,0.0020034400155903667,868.8,141.55105086151778,1.0,0.0,4895.2,53.569580920518646,-0.00051738747406368,0.00024305805420509578,0.9963270957847697,0.002161601659839596,-0.00026338138975214,0.0001318409408102343,16.0,0.0,0.5449565190789558,0.0
cycle9-downsample,5,,,3520.0,0.0,197.0,0.0,3520.0,0.0,,,1.2857378800050356,0.08362392045381384,0.9400500716044549,0.0014017941890961852,0.8658506686546253,0.03316887437859133,0.6848952211409882,0.009055108946616102,0.9658304864918728,0.000904576306402097,0.6885115083222326,0.021189649063001612,0.7421577159896788,0.028430463753078318,0.05853837217820844,0.0019461345470796671,5593.4,185.9551021080089,0.8929801324503313,0.03221838990455231,161.6,48.64976875587386,1.0,0.0,4840.2,16.223439832538556,-0.0004062579654268,0.0001559227129942758,0.9969543147208121,0.004540239548222906,-0.00033741201156622,0.0001499773422545673,16.0,0.0,0.5449565190789558,0.0
