configuration,ours_balanced_accuracy,ours_balanced_accuracy_std,published_balanced_accuracy,ours_f1_weighted,ours_f1_weighted_std,published_f1_weighted,ours_f1_macro,ours_f1_macro_std,published_f1_macro,ours_accuracy,ours_accuracy_std,published_accuracy,ours_benign_fpr,ours_benign_fpr_std,published_benign_fpr,bacc_gap_ours_minus_published
verkerken-max-fscore,0.793062373703647,0.01596442000810906,0.8954,0.9894081947599966,0.0010503870758116663,0.9897,0.6783661215173185,0.017074150395073852,0.8276,0.9864827273570228,0.0013550825037359309,0.9877,0.00983767830791933,0.0014704468714487016,,-0.10233762629635301
verkerken-max-bacc,0.8190276286004057,0.04133333544323668,0.9608,0.9664581379976447,0.0006214511985837076,0.958,0.677161787830562,0.011910271960479854,0.7496,0.9416346421322673,0.0009948471748342724,0.9341,0.05603290389425542,0.0016584285571793055,,-0.1417723713995943
verkerken-balanced,0.7922297758704945,0.015965717096563692,0.9342,0.9869580536381676,0.0010251352669335004,0.9875,0.6780105699608185,0.01707037251724126,0.8231,0.9815648578385413,0.0013446764819815733,0.9834,0.014833265306834395,0.0014589057608183258,,-0.14197022412950555
