arm,zd_mean,zd_std_across_folds,zd_std_across_seeds,zd_worst_fold,worst_fold,keep_mean,keep_worst_fold,fp_mean,fp_worst_fold,zd_in_sample_mean,meets_constraints,n_seeds,n_folds_feasible
thresholds,0.42196039537658797,0.4088791349986847,0.0295542164469549,0.0009779126622829202,FTP-Patator,0.925298013245033,0.9068874172185429,0.09542045609151135,0.10105388745277391,0.4231469406383488,True,5,5
recommended-fixed,0.42174790666600864,0.40886358036494147,0.02947504630294702,0.0009441915359973022,FTP-Patator,0.9149139072847682,0.9099337748344372,0.09007127083965631,0.09405657711588575,,True,5,5
override,0.40883735898293044,0.4045745769239395,0.036311414550752076,0.001045354914854156,FTP-Patator,0.9082649006622517,0.8944370860927153,0.09271614111835563,0.10119412669673786,0.42378136229435365,True,5,5
submitted,0.38414234399769054,0.394056678311566,0.03774157351484188,0.0007755859045692126,FTP-Patator,0.8864105960264901,0.8658278145695364,0.05726868373957363,0.05932120019675356,0.3841423439976906,False,5,5
continuous,0.37003493318781616,0.36882496833041206,0.09009348950598152,0.0007165739335693812,FTP-Patator,0.9125099337748344,0.9028145695364238,0.07896945086916936,0.08858096723215875,0.40213400905409274,True,5,5
