arm,zd_mean,zd_std_across_folds,zd_std_across_seeds,zd_worst_fold,worst_fold,keep_mean,fp_mean,n_seeds
submitted-pipeline,0.38414234399769054,0.394056678311566,0.03774157351484188,0.0007755859045692126,FTP-Patator,0.8864105960264901,0.05726868373957363,5
I-learned,0.3192593730192957,0.3946779516996952,0.05647478640904992,0.008126791434833924,FTP-Patator,0.9295364238410597,0.1643804879069816,5
I-learned-ori,0.30675277722818395,0.2703521497471203,0.1562468246809389,0.0004383746417130332,FTP-Patator,0.8896688741721853,0.17084614499063328,5
