zero_day_recall,zero_day_hits,n,ci_lo,ci_hi,balanced_accuracy,benign_fpr,tau_m,recall_Benign,recall_Brute Force,recall_DoS,recall_Port Scan,recall_Web Attack,detector,classifier,withheld,seed,recall_Botnet
0.030619345859429367,44,1437,0.02288737800390043,0.04085416570200106,0.8988947419093982,0.05053845590313027,1.0,0.9494615440968698,0.9343065693430657,0.8491484184914841,0.8978102189781022,0.8637469586374696,ocsvm,rf,Botnet,0,
0.022268615170494086,32,1437,0.01581760327465885,0.03126700718360856,0.9008160964523322,0.050664043285784555,1.0,0.9493359567142154,0.9343065693430657,0.8248175182481752,0.9221411192214112,0.8734793187347932,ocsvm,rf,Botnet,1,
0.0007650273224043716,7,9150,0.0003706339276135156,0.0015784340020590037,0.8748555623809233,0.05949702253246957,1.0,0.9405029774675304,,0.7450331125827815,0.8774834437086093,0.8874172185430463,ocsvm,rf,Brute Force,0,0.9238410596026491
0.0007650273224043716,7,9150,0.0003706339276135156,0.0015784340020590037,0.8823031506145499,0.06530543898023046,0.9962525050099793,0.9346945610197696,,0.7516556291390728,0.9105960264900662,0.8940397350993378,ocsvm,rf,Brute Force,1,0.9205298013245033
0.7857185036005209,252812,321759,0.7842973177435422,0.78713286719138,0.9412314328030223,0.05874349823654384,0.995,0.9412565017634562,0.9503311258278145,,0.9470198675496688,0.8741721854304636,ocsvm,rf,DoS,0,0.9933774834437086
0.7791048579837705,250684,321759,0.777668109443247,0.7805349421760196,0.9146589100054816,0.05584452282027399,1.0,0.944155477179726,0.9139072847682119,,0.9139072847682119,0.8377483443708609,ocsvm,rf,DoS,1,0.9635761589403974
1.0,11,11,0.7411670330319684,1.0,0.8904471238883721,0.05797950832539691,1.0,0.9420204916746031,0.9205298013245033,0.7913907284768212,0.8774834437086093,0.8675496688741722,ocsvm,rf,Heartbleed,0,0.9437086092715232
1.0,11,11,0.7411670330319684,1.0,0.8843991592114175,0.05784345532752143,1.0,0.9421565446724786,0.9205298013245033,0.7814569536423841,0.847682119205298,0.8774834437086093,ocsvm,rf,Heartbleed,1,0.9370860927152318
0.4722222222222222,17,36,0.31986041515179053,0.629940619770124,0.8904471238883721,0.05797950832539691,1.0,0.9420204916746031,0.9205298013245033,0.7913907284768212,0.8774834437086093,0.8675496688741722,ocsvm,rf,Infiltration,0,0.9437086092715232
0.5277777777777778,19,36,0.37005938022987594,0.6801395848482095,0.8843991592114175,0.05784345532752143,1.0,0.9421565446724786,0.9205298013245033,0.7814569536423841,0.847682119205298,0.8774834437086093,ocsvm,rf,Infiltration,1,0.9370860927152318
