system,seed,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,benign_fpr,benign_fp_count,attack_detection_rate,attacks_missed,phantom_classes,phantom_predictions
stage-1b alone,0,0.9902844602878602,0.898781242142847,0.8191260977823958,0.9917661409774905,0.7987510274247356,0.898781242142847,0.007974798798547372,762.0,0.8801324503311259,181.0,,
full system,0,0.9410576853731158,0.8904471238883721,0.698445647642278,0.9665279292326803,0.6846941542154207,0.763240391904319,0.05797950832539691,5540.0,0.9072847682119205,140.0,1.0,4819.0
stage-1b alone,1,0.9900577987039079,0.8926914150050077,0.8111037027545165,0.9915030564033267,0.7915030707849859,0.8926914150050077,0.008089920565980471,773.0,0.8728476821192053,192.0,,
full system,1,0.941078290971657,0.8843991592114175,0.691600585668818,0.9664803749690513,0.6785076908754064,0.758056422181215,0.05784345532752143,5527.0,0.9112582781456954,134.0,1.0,4812.0
stage-1b alone,2,0.989491144744027,0.898646933414175,0.8066975253293438,0.9911353819397881,0.7851676255430262,0.898646933414175,0.008780651170579062,839.0,0.8801324503311259,181.0,,
full system,2,0.9405425454095878,0.8903599104281953,0.6878191835590217,0.9660804597905405,0.6730687519045496,0.7631656375098818,0.058502789086456446,5590.0,0.9145695364238411,129.0,1.0,4803.0
