arm,n_seeds,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,f1_macro_mean,f1_macro_std,f1_macro_min,f1_macro_max,f1_weighted_mean,f1_weighted_std,f1_weighted_min,f1_weighted_max,precision_macro_mean,precision_macro_std,precision_macro_min,precision_macro_max,recall_macro_mean,recall_macro_std,recall_macro_min,recall_macro_max,benign_fpr_mean,benign_fpr_std,benign_fpr_min,benign_fpr_max,benign_fp_count_mean,benign_fp_count_std,benign_fp_count_min,benign_fp_count_max,attack_detection_rate_mean,attack_detection_rate_std,attack_detection_rate_min,attack_detection_rate_max,attacks_missed_mean,attacks_missed_std,attacks_missed_min,attacks_missed_max,phantom_classes_mean,phantom_classes_std,phantom_classes_min,phantom_classes_max,phantom_predictions_mean,phantom_predictions_std,phantom_predictions_min,phantom_predictions_max,tau_b_mean,tau_b_std,tau_b_min,tau_b_max,tau_m_mean,tau_m_std,tau_m_min,tau_m_max,tau_u_mean,tau_u_std,tau_u_min,tau_u_max
ours-submitted,3,0.9417076067124365,0.002286567525356053,0.9400596184006896,0.9443180755928084,0.8672382157651805,0.004620639933013186,0.8619258158090822,0.8703235059672985,0.6472244625750937,0.005102418856911619,0.641522700336344,0.651360687508762,0.9679960502046088,0.0012160044849296944,0.9671636092565161,0.9693915298161274,0.6510526886295558,0.014863911895964903,0.6384782707629751,0.6674566603028964,0.7226985131376504,0.0038505332775109497,0.7182715131742352,0.725269588306082,0.05758181494699166,0.002288909245461246,0.054975876756915155,0.059266778997603374,5502.0,218.7075673130676,5253.0,5663.0,0.8598901098901099,0.0036342737789348905,0.8557692307692307,0.8626373626373627,102.0,2.6457513110645907,100.0,105.0,1.0,0.0,1.0,1.0,4430.333333333333,1.5275252316518475,4429.0,4432.0,-0.0002859247221359163,9.88977375867808e-05,-0.00035591618390828396,-0.0001727838765015337,1.0,0.0,1.0,1.0,-0.00010740771559652244,0.00012665206751130004,-0.00024267355471994283,8.37196688404469e-06
rf-closed-baseline,3,0.9990305951107373,2.162118426104874e-05,0.9990132843091433,0.9990548302329688,0.9383833952012203,0.0019027508935751433,0.9361862907110995,0.9394850871308471,0.9464435114869133,0.0012516578546753416,0.9452910953894005,0.9477751003924668,0.999015248651752,2.254864933628807e-05,0.9989957241831889,0.9990399285913661,0.9552770105706335,0.0016058139444188118,0.9536607602355811,0.9568721805684726,0.9383833952012203,0.0019027508935751433,0.9361862907110995,0.9394850871308471,0.0003907163015911224,1.5986491315129605e-05,0.000376762147962868,0.00040815899362644034,37.333333333333336,1.5275252316519474,36.0,39.0,0.9244505494505494,0.0023791906697374844,0.9217032967032966,0.9258241758241759,55.0,1.7320508075688772,54.0,57.0,,,,,,,,,,,,,,,,,,,,
verkerken-balanced,3,0.9800302592811864,0.003505961736728693,0.9774197904008143,0.9840152058081202,0.6987406606364021,0.15568089855862857,0.6019445688114776,0.8783234222423765,0.5308353201890833,0.1053668459573152,0.4632244026082442,0.6522406939046917,0.9865526933954203,0.002942276514503938,0.9846229025798675,0.9899391423631985,0.5370663205126104,0.0881582932161396,0.4787260649996994,0.6384804487313813,0.5822838838636685,0.1297340821321905,0.5016204740095647,0.7319361852019804,0.0172857078070001,0.0021159272391404866,0.014976295381524002,0.01913114462433674,1651.6666666666667,202.1789636271126,1431.0,1828.0,0.6336996336996337,0.1949017223087936,0.5123626373626373,0.8585164835164835,266.6666666666667,141.88845384080176,103.0,355.0,1.0,0.0,1.0,1.0,605.3333333333334,1.5275252316519312,604.0,607.0,-0.00019810024308404618,0.00011240310429142584,-0.0003210025601949485,-0.00010051429255565632,1.0,0.0,1.0,1.0,1.5023816919909038e-05,0.00015467281510815723,-0.00013422489607085798,0.0001746028436014096
