held_out,n,recall_mean,recall_std,benign_fpr
Botnet,101695,0.001248832292639756,0.0010948161195509537,0.3769833333333333
Brute Force,42312,0.0003387533875338753,0.00040684286045488614,0.3583
DoS,500101,0.014881660571231277,0.004367847639890462,0.3521166666666667
Infiltration,41234,0.031098931302646682,0.0008616513218781097,0.0582
Web Attack,867,0.1956939638600538,0.0834949788456178,0.6850583333333334
MEAN over classes,686209,0.048652428282821084,0.08314312251723166,0.3661316666666667
